analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3
In_vitro_1183_dep_dose_release_il1b.txt,0.00435,0,0.127,1183,831,Pavan 2014,Amorphous SiO2,,DMEM,2.2,879,1600,1.699943926,6,mouse,mouse macrophages,3.1,0.388947778,125063.5943,145.7864051,release_il1b,0.13485,0,1398.713827
In_vitro_1184_dep_dose_release_il1b.txt,2.26E-05,5.03E-06,7.05E-05,1184,834,Sandbarg 2012,Amorphous SiO2,,DMEM+10%FBS,2.2,64,91,1.873918764,6,mouse,RAW264.7,650,0.002472808,463.941464,0.540862692,release_il1b,0.1469,0.032695,4.240150099
In_vitro_1185_dep_dose_release_il1b.txt,0.01049,0.0103,0.0107,1185,842,Sandbarg 2012,Amorphous SiO2,,DMEM+10%FBS,2.2,369,531,1.864529088,6,mouse,RAW264.7,90,0.114932637,56064.70094,65.34577768,release_il1b,9.441,9.27,5117.073167
In_vitro_1186_dep_dose_release_il1b.txt,5.46E-05,4.74E-05,6.19E-05,1186,845,Sandbarg 2012,Amorphous SiO2,,DMEM+10%FBS,2.2,20,255,1.120502116,6,mouse,RAW264.7,1880,0.000329916,54.80332205,0.063854705,release_il1b,1.02648,0.89112,9.069767407
In_vitro_1187_dep_dose_release_il1b.txt,0.0006089,0.000305,0.000854,1187,852,Sandbarg 2012,Amorphous SiO2,,DMEM+10%FBS,2.2,23,500,1.074166626,6,mouse,RAW264.7,500,0.004835551,756.7372441,0.882635776,release_il1b,3.0445,1.525,95.28951467
In_vitro_1188_dep_dose_release_il1b.txt,0.0005591,0.000386,0.000762,1188,854,Sandbarg 2012,Amorphous SiO2,,RPMI+5%FBS,2.2,64,91,1.874100675,6,rat,rat macrophage,650,0.000580155,108.8470919,0.126893877,release_il1b,3.63415,2.509,104.8968105
In_vitro_1189_dep_dose_release_il1b.txt,0.0008649,0.000598,0.00119,1189,860,Sandbarg 2012,Amorphous SiO2,,RPMI+5%FBS,2.2,369,531,1.864716237,6,rat,rat macrophage,90,0.0025,1219.512195,1.421392988,release_il1b,0.77841,0.5382,421.902439
In_vitro_1190_dep_dose_release_il1b.txt,9.80E-07,0,1.44E-06,1190,870,Sandbarg 2012,Amorphous SiO2,,RPMI+5%FBS,2.2,20,255,1.121104334,6,rat,rat macrophage,1880,0.001627594,270.3644521,0.315018174,release_il1b,0.018424,0,0.162790698
In_vitro_1191_dep_dose_release_il1b.txt,9.51E-07,0,2.13E-06,1191,876,Sandbarg 2012,Amorphous SiO2,,RPMI+5%FBS,2.2,23,500,1.074794693,6,rat,rat macrophage,500,0.001889177,295.645853,0.344832515,release_il1b,0.004755,0,0.148826291
In_vitro_120_dep_dose_release_tnfa.txt,0.00567,0,0.00632,120,552,Cho 2013,TiO2,rutile,RPMI+10%FBS,4.23,30.5,89.8,2.228612555,24,human,THP1 macrophages,27.5,0.032563472,4874.77139,5.685685469,release_tnfa,1.55925,0,848.8024183
In_vitro_142_dep_dose_release_tnfa.txt,0.0003482,7.78E-05,0.000943,142,652,Waters 2009,Amorphous SiO2,,DMEM,2.2,11.5,35,1.440705086,24,mouse,RAW264.7,237,0.001497283,421.7698592,0.491441443,release_tnfa,0.825234,0.184386,98.08450705
In_vitro_143_dep_dose_release_tnfa.txt,0.001112,0.00111,0.00111,143,655,Waters 2009,Amorphous SiO2,,DMEM,2.2,53,85.1,1.783597289,24,mouse,RAW264.7,51,0.001902392,325.195214,0.378947302,release_tnfa,0.56712,0.5661,190.0854703
